               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.057791,              0.0299,           0.0094858,             0.52395,             0.31163,               0.328,             0.15675,            0.055534,            0.030335,            0.012424,            0.003385,            0.003385,            0.003385
                 149,             0.05774,            0.030061,           0.0095108,             0.52183,             0.31215,             0.32803,             0.15674,            0.055532,            0.030337,            0.012432,             0.00334,             0.00334,             0.00334
                 150,            0.057703,            0.029843,            0.009474,             0.52298,             0.31196,             0.32823,             0.15697,            0.055531,            0.030342,            0.012429,            0.003295,            0.003295,            0.003295
                 151,            0.057614,            0.029984,           0.0094039,             0.52231,             0.31176,             0.32827,              0.1569,            0.055531,            0.030341,            0.012433,             0.00325,             0.00325,             0.00325
                 152,            0.057616,            0.029866,           0.0093929,             0.52045,             0.31249,             0.32855,             0.15712,            0.055529,            0.030343,            0.012439,            0.003205,            0.003205,            0.003205
                 153,            0.057572,            0.029842,            0.009425,             0.52268,             0.31286,             0.32898,             0.15685,            0.055531,            0.030345,            0.012454,             0.00316,             0.00316,             0.00316
                 154,            0.057482,            0.029686,            0.009444,             0.52566,              0.3129,             0.32919,             0.15705,            0.055531,            0.030349,            0.012448,            0.003115,            0.003115,            0.003115
                 155,            0.057395,            0.029759,           0.0093872,             0.52484,             0.31245,             0.32884,             0.15712,            0.055533,            0.030351,            0.012446,             0.00307,             0.00307,             0.00307
                 156,            0.057435,            0.029672,           0.0093436,             0.52641,             0.31234,             0.32867,             0.15713,            0.055536,            0.030352,             0.01244,            0.003025,            0.003025,            0.003025
                 157,            0.057351,            0.029868,           0.0093107,             0.52911,             0.31214,             0.32838,             0.15696,            0.055536,            0.030356,            0.012444,             0.00298,             0.00298,             0.00298
                 158,            0.057267,            0.029693,           0.0093074,             0.52318,             0.31319,             0.32842,             0.15726,            0.055536,             0.03036,            0.012448,            0.002935,            0.002935,            0.002935
